2025-12-04 17:31:52.294624 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.376593 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.572562 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.638001 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.943250 | student001 | ['Multiple faces detected']
2025-12-04 17:31:52.964663 | student001 | ['Multiple faces detected']
2025-12-04 17:31:53.128141 | student001 | ['Multiple faces detected']
2025-12-04 17:31:53.362525 | student001 | ['No face detected']
2025-12-04 17:31:53.902350 | student001 | ['No face detected']
2025-12-04 17:31:54.412449 | student001 | ['No face detected']
2025-12-04 17:31:54.565177 | student001 | ['No face detected']
2025-12-04 17:31:54.858842 | student001 | ['No face detected']
2025-12-04 17:31:54.858842 | student001 | ['No face detected']
2025-12-04 17:31:55.285804 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.303155 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.395344 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.396341 | student001 | ['Multiple faces detected']
2025-12-04 17:31:55.576283 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.148091 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.248355 | student001 | ['Multiple faces detected']
2025-12-04 17:31:57.256896 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.042648 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.127801 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.127801 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.145254 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.145254 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.984362 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.985584 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.988783 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.990778 | student001 | ['Multiple faces detected']
2025-12-04 17:31:58.996112 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.904319 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.947388 | student001 | ['Multiple faces detected']
2025-12-04 17:32:00.904319 | student001 | ['Multiple faces detected']
2025-12-04 17:32:01.129777 | student001 | ['Multiple faces detected']
2025-12-04 17:32:01.295268 | student001 | ['Multiple faces detected']
2025-12-04 17:32:04.953541 | student001 | ['Multiple faces detected']
2025-12-04 17:32:05.270270 | student001 | ['Multiple faces detected']
2025-12-04 17:32:06.584031 | student001 | ['Multiple faces detected']
2025-12-04 17:32:06.826792 | student001 | ['Multiple faces detected']
2025-12-04 17:32:07.175964 | student001 | ['Multiple faces detected']
2025-12-04 17:32:07.175964 | student001 | ['Multiple faces detected']
2025-12-04 17:32:07.239946 | student001 | ['Multiple faces detected']
2025-12-04 17:32:07.511912 | student001 | ['Multiple faces detected']
2025-12-04 17:32:08.462312 | student001 | ['Multiple faces detected']
2025-12-04 17:32:08.566006 | student001 | ['Multiple faces detected']
2025-12-04 17:32:08.729333 | student001 | ['Multiple faces detected']
2025-12-04 17:32:08.729333 | student001 | ['Multiple faces detected']
2025-12-04 17:32:08.911830 | student001 | ['Multiple faces detected']
2025-12-04 17:32:10.429684 | student001 | ['Multiple faces detected']
2025-12-04 17:32:10.706513 | student001 | ['Multiple faces detected']
2025-12-04 17:32:10.939668 | student001 | ['Multiple faces detected']
2025-12-04 17:32:10.983380 | student001 | ['Multiple faces detected']
2025-12-04 17:32:12.225354 | student001 | ['Multiple faces detected']
2025-12-04 17:32:12.700212 | student001 | ['Multiple faces detected']
2025-12-04 17:32:14.400449 | student001 | ['Multiple faces detected']
2025-12-04 17:32:14.626961 | student001 | ['Multiple faces detected']
2025-12-04 17:32:14.626961 | student001 | ['Multiple faces detected']
2025-12-04 17:32:14.712034 | student001 | ['Multiple faces detected']
2025-12-04 17:32:16.216158 | student001 | ['Multiple faces detected']
2025-12-04 17:32:16.392357 | student001 | ['No face detected']
2025-12-04 17:32:16.392357 | student001 | ['Multiple faces detected']
2025-12-04 17:32:16.392357 | student001 | ['No face detected']
2025-12-04 17:32:17.883578 | student001 | ['Multiple faces detected']
2025-12-04 17:32:17.883578 | student001 | ['Multiple faces detected']
2025-12-04 17:32:18.188072 | student001 | ['Multiple faces detected']
2025-12-04 17:32:19.413863 | student001 | ['Multiple faces detected']
2025-12-04 17:32:19.414862 | student001 | ['Multiple faces detected']
2025-12-04 17:32:31.462411 | student001 | ['No face detected']
2025-12-04 17:32:31.760374 | student001 | ['No face detected']
2025-12-04 17:32:31.760374 | student001 | ['No face detected']
2025-12-04 17:32:32.228441 | student001 | ['No face detected']
2025-12-04 17:32:32.763649 | student001 | ['No face detected']
2025-12-04 17:32:33.720202 | student001 | ['Multiple faces detected']
2025-12-04 17:32:35.354715 | student001 | ['No face detected']
2025-12-04 17:32:35.618086 | student001 | ['No face detected']
2025-12-04 17:32:35.965318 | student001 | ['No face detected']
2025-12-04 17:32:38.044732 | student001 | ['No face detected']
2025-12-04 17:32:38.044732 | student001 | ['No face detected']
2025-12-04 17:32:38.044732 | student001 | ['Multiple faces detected']
2025-12-04 17:32:38.192074 | student001 | ['No face detected']
